WeekEndDate,LTLA,Lineage,Count,day,lat,lon
2020-09-12,E08000024,B.1.177,5,8.0,54.857189,-1.43344
2020-09-12,E08000025,B.1.177,8,8.0,52.484039,-1.88141
2020-09-12,E08000026,B.1.177,2,8.0,52.41423,-1.51908
2020-09-12,E08000027,B.1.177,1,8.0,52.495129,-2.10171
2020-09-12,E08000028,B.1.177,1,8.0,52.514771,-2.00771
2020-09-12,E08000029,B.1.177,3,8.0,52.431,-1.71558
2020-09-12,E08000030,B.1.177,1,8.0,52.60503,-1.97044
2020-09-12,E08000031,B.1.177,1,8.0,52.597881,-2.12746
2020-09-12,E08000032,B.1.177,13,8.0,53.843819,-1.87389
2020-09-12,E08000033,B.1.177,2,8.0,53.720482,-1.96182
2020-09-12,E08000035,B.1.177,6,8.0,53.822731,-1.50736
2020-09-12,E08000037,B.1.177,1,8.0,54.931198,-1.6868
2020-09-12,E09000002,B.1.177,4,8.0,51.545551,0.129479
2020-09-12,E09000003,B.1.177,3,8.0,51.611069,-0.21819
2020-09-12,E09000005,B.1.177,1,8.0,51.564381,-0.27568
2020-09-12,E09000006,B.1.177,2,8.0,51.372662,0.039246
2020-09-12,E09000007,B.1.177,1,8.0,51.543049,-0.16291
2020-09-12,E09000008,B.1.177,3,8.0,51.365971,-0.07761
2020-09-12,E09000009,B.1.177,2,8.0,51.524422,-0.3141
2020-09-12,E09000010,B.1.177,3,8.0,51.648891,-0.08144
2020-09-12,E09000011,B.1.177,2,8.0,51.46394,0.050093
2020-09-12,E09000012,B.1.177,2,8.0,51.55492,-0.06045
2020-09-12,E09000014,B.1.177,4,8.0,51.587711,-0.1067
2020-09-12,E09000015,B.1.177,5,8.0,51.594669,-0.33598
2020-09-12,E09000016,B.1.177,1,8.0,51.565189,0.235368
2020-09-12,E09000018,B.1.177,2,8.0,51.462379,-0.37855
2020-09-12,E09000019,B.1.177,1,8.0,51.54546,-0.10989
2020-09-12,E09000020,B.1.177,3,8.0,51.496479,-0.18977
2020-09-12,E09000022,B.1.177,6,8.0,51.464451,-0.11385
